2025-09-02 23:56:31,982: Train ICNN with JFB on CT
2025-09-02 23:56:31,982: The model has 26499 parameters
2025-09-02 23:56:31,983: Parameters:
2025-09-02 23:56:31,983: load_pretrain: False, load_parameter_fitting: False, score_sigma: 0.015
2025-09-02 23:56:31,983: pretrain_epochs: 0, pretrain_lr: 0.001, epochs: 4
2025-09-02 23:56:31,983: adabelief: True, fitting_lr: 0.1, lr: 0.005
2025-09-02 23:56:31,983: jacobian_regularization: False, jacobian_regularization_parameter: 1e-09, lmbd: 1.0
2025-09-02 23:58:30,389: maxiter hit in iteration 1
2025-09-03 00:00:22,499: maxiter hit in iteration 2
2025-09-03 04:39:06,115: Step 360, Train PSNR 33.27690415912204
2025-09-03 04:41:42,197: Step 370, Train PSNR 33.27593085830276
2025-09-03 04:44:27,783: Step 380, Train PSNR 33.288289029974685
2025-09-03 04:47:10,231: Step 390, Train PSNR 33.29189167511769
2025-09-03 04:48:45,703: [Epoch 3] Train Loss: 2.90E+01, PSNR: 33.29
2025-09-03 04:58:30,282: [Epoch 3] Val Loss: 3.23E+01, PSNR: 32.95
2025-09-03 05:01:09,112: Step 10, Train PSNR 33.34697437286377
2025-09-03 05:03:44,399: Step 20, Train PSNR 33.37774686813354
2025-09-03 05:06:23,419: Step 30, Train PSNR 33.3821798324585
2025-09-03 05:09:02,676: Step 40, Train PSNR 33.360656929016116
2025-09-03 05:11:42,181: Step 50, Train PSNR 33.35515937805176
2025-09-03 05:14:24,048: Step 60, Train PSNR 33.390797805786136
2025-09-03 05:17:05,431: Step 70, Train PSNR 33.49976768493652
2025-09-03 05:19:51,522: Step 80, Train PSNR 33.50756602287292
2025-09-03 05:22:30,189: Step 90, Train PSNR 33.465918159484865
2025-09-03 05:25:05,563: Step 100, Train PSNR 33.44672567367554
2025-09-03 05:27:48,640: Step 110, Train PSNR 33.45213291861794
2025-09-03 05:30:27,982: Step 120, Train PSNR 33.477898581822714
2025-09-03 05:33:10,414: Step 130, Train PSNR 33.43204191648043
